	form	mean	stdev	min	max	range	experiment
0	18.0	0.6892600675609624	0.13865643674524694	0.4561355632220941	0.8886122113519187	0.4324766481298246	3.0
1	48.0	0.7283540996747232	0.1357143915894512	0.4758020168569257	1.003919538489458	0.5281175216325322	3.0
2	36.0	0.6250102951375636	0.16550485243136187	0.40701277503011646	0.9133418670410869	0.5063290920109704	3.0
3	18.0	0.6200094631617722	0.16727705006005872	0.10099600726195075	0.7880372250479358	0.687041217785985	3.0
4	12.0	0.7841854261119297	0.13406997726368658	0.4093552282082776	0.9466435121306436	0.537288283922366	3.0
5	27.0	0.5714788501580592	0.14433690655277018	0.2671630078170177	0.8290100384132003	0.5618470305961827	3.0
6	8.0	0.7894651442620013	0.0765452186178817	0.6233960169298758	0.9019580638532809	0.27856204692340514	3.0
7	45.0	0.575130959949259	0.14479961574534092	0.22527410232747194	0.79229507688117	0.567020974553698	3.0
8	64.0	0.6517879982595919	0.16627068691460464	0.23181925574794024	0.9663412842074659	0.7345220284595256	3.0
9	32.0	0.5433444822116051	0.08315758036800823	0.3918174045585598	0.793698978323999	0.40188157376543926	3.0
10	9.0	0.8237168065943911	0.10870641005773662	0.5705159812599762	0.9433340573280865	0.37281807606811035	3.0
11	12.0	0.6662737900746245	0.17722874067628158	0.34708823684798934	0.9605603207698673	0.6134720839218779	3.0
12	32.0	0.6861283784953788	0.1593580861455399	0.2627670068091305	0.9298139808997686	0.6670469740906382	3.0
13	64.0	0.7852672130340022	0.15503044730343024	0.3271547577923004	1.084272431828073	0.7571176740357726	3.0
14	16.0	0.7896735275685424	0.12311993322613492	0.4614335724401339	0.9345395708723978	0.4731059984322639	3.0
15	24.0	0.8301309238518686	0.1742938728423288	0.48815101236838715	1.0937590984182817	0.6056080860498945	3.0
16	12.0	0.626358210352957	0.09396189372265835	0.4548267635992835	0.7603894932684906	0.3055627296692071	3.0
17	36.0	0.35144968035721486	0.13978613706712353	0.04206472043382603	0.5385542737651097	0.49648955333128364	3.0
18	48.0	0.4997525817901142	0.14517796291000834	0.2070811889001137	0.8314124945783691	0.6243313056782553	3.0
19	27.0	0.6611982904767277	0.11532206027866837	0.43829279309358987	0.9018079743777734	0.4635151812841835	3.0
20	36.0	0.5886501494793944	0.11507542554299231	0.29854053871108027	0.7753780618258284	0.4768375231147481	3.0
21	12.0	0.7289306053777764	0.06152341835755092	0.6270558487387349	0.8450291115509785	0.2179732628122436	3.0
22	48.0	0.8217500462419909	0.227436135330981	0.24468285013451538	1.1763490904443745	0.9316662403098591	3.0
23	60.0	0.48186928176426147	0.09530560443516309	0.2907623861802629	0.6468394975324795	0.3560771113522166	3.0
24	24.0	0.6644553792388452	0.1358506188498922	0.36357498368836577	0.9329727445783947	0.5693977608900289	3.0
25	36.0	0.7237644407825241	0.2077113197705468	0.22136843174367193	1.0970088177652129	0.8756403860215409	3.0
26	36.0	0.4527720663002561	0.14351811638690493	0.16334518741040824	0.7801814010890457	0.6168362136786374	3.0
27	24.0	0.5187533079608829	0.1368272319400973	0.3096915851499901	0.8230114309158433	0.5133198457658532	3.0
28	16.0	0.621987014061465	0.12914690855219232	0.23258862186465154	0.7805773734434794	0.5479887515788279	3.0
29	18.0	0.7490919524531208	0.11486325881763569	0.4203851999345177	0.8931651730740828	0.47277997313956516	3.0
30	24.0	0.42640763828347006	0.06586760198159926	0.2477182997577145	0.5131200651303421	0.2654017653726276	3.0
31	9.0	0.670814753025676	0.1365486563486182	0.3595393468607169	0.9122404605146027	0.5527011136538857	3.0
32	84.0	0.4997003269081902	0.2186426920786297	0.1156168993243704	1.1283869945429783	1.0127700952186078	3.0
33	36.0	0.5161308380976259	0.1463830419440339	0.1372328373684735	0.8121055654326721	0.6748727280641986	3.0
34	24.0	0.43391579384302936	0.12341619637316573	0.1830493817329242	0.7467314718501566	0.5636820901172325	3.0
35	40.0	0.46877585416299317	0.19081994050876258	0.059726994391542755	0.821717988433987	0.7619909940424443	3.0
36	27.0	0.8047054886165459	0.1865171714720405	0.33326277942099	1.1360784254647815	0.8028156460437916	3.0
37	24.0	0.714036969299544	0.0988286121567617	0.5244853038840908	0.8779706831293295	0.3534853792452387	3.0
38	27.0	0.7073211381548162	0.1576656814445978	0.37623384842371843	0.9751941933539768	0.5989603449302584	3.0
39	24.0	0.6389029046490611	0.1389449136247692	0.34527092841852886	0.9482797272590372	0.6030087988405084	3.0
40	25.0	0.670164721925086	0.20934575160535496	0.3125313374364179	0.9018032466615117	0.5892719092250938	3.0
41	12.0	0.923884413842927	0.16822115182794348	0.5944914031999292	1.1384044761933303	0.5439130729934011	3.0
42	48.0	0.47823690477936565	0.1082980904369096	0.194709689337346	0.7078202625650469	0.5131105732277009	3.0
43	40.0	0.6451123993556751	0.12799292535456128	0.23519084471727367	0.8105616573669141	0.5753708126496404	3.0
44	30.0	0.5410796835193579	0.1783701988626665	0.16250601465061398	0.8875523303794338	0.7250463157288198	3.0
45	24.0	0.7782389490532553	0.14481520353033753	0.3964122068808642	0.9616508865536141	0.5652386796727499	3.0
46	24.0	0.8857437303145944	0.24503347820681473	0.2885275929662552	1.2095813769535473	0.9210537839872921	3.0
47	12.0	0.7024618706704495	0.07984362172722967	0.6003686640228416	0.8107370318367789	0.2103683678139373	3.0
48	64.0	0.46422283248342533	0.21755086831659554	0.04029030114475858	1.1161826346959087	1.07589233355115	3.0
49	36.0	0.6875139272520183	0.15017483712371263	0.3141923867542293	1.0168750385543996	0.7026826518001703	3.0
